name,dimension,opt_tour_length,c_tour_length,best_tour_length,best_sa_tour_length,c_apx_ratio,best_apx_ratio,best_sa_apx_ratio,best_tour_k,best_sa_tour_k,elapsed_time
pr226,226,80369,93220,93220,93220,1.1598999614279137,1.1598999614279137,1.1598999614279137,1,1,34.073508977890015
gr229,229,134602,147286,147286,147286,1.0942333694893092,1.0942333694893092,1.0942333694893092,1,1,37.319578886032104
gil262,262,2378,2677,2677,2677,1.1257359125315392,1.1257359125315392,1.1257359125315392,1,1,42.81863975524902
pr264,264,49135,55355,55355,55355,1.126590007123232,1.126590007123232,1.126590007123232,1,1,42.12295722961426
a280,280,2579,2917,2917,2917,1.1310585498255137,1.1310585498255137,1.1310585498255137,1,1,46.757755756378174
pr299,299,48191,53859,53859,53859,1.117615322363097,1.117615322363097,1.117615322363097,1,1,47.25123858451843
lin318,318,42029,47886,47886,47886,1.139356158842704,1.139356158842704,1.139356158842704,1,1,55.91081380844116
linhp318,318,41345,47886,47886,47886,1.1582053452654493,1.1582053452654493,1.1582053452654493,1,1,60.164169788360596
rd400,400,15281,17513,17513,17513,1.1460637392840782,1.1460637392840782,1.1460637392840782,1,1,107.88651490211487
fl417,417,11861,13610,13610,13610,1.1474580558131693,1.1474580558131693,1.1474580558131693,1,1,98.60904598236084
gr431,431,171414,188815,188815,188815,1.1015144620626087,1.1015144620626087,1.1015144620626087,1,1,113.39354181289673
pr439,439,107217,119698,119698,119698,1.11640877845864,1.11640877845864,1.11640877845864,1,1,98.89285707473755
pcb442,442,50778,55729,55729,55729,1.0975028555673716,1.0975028555673716,1.0975028555673716,1,1,96.8186149597168
d493,493,35002,39006,39006,39006,1.1143934632306725,1.1143934632306725,1.1143934632306725,1,1,135.0814607143402
ali535,535,202339,229374,229374,229374,1.1336124029475287,1.1336124029475287,1.1336124029475287,1,1,144.42430543899536
si535,535,48450,50140,50140,50140,1.0348813209494323,1.0348813209494323,1.0348813209494323,1,1,136.60669779777527
pa561,561,2763,3182,3182,3182,1.151646760767282,1.151646760767282,1.151646760767282,1,1,127.78201818466187
u574,574,36905,41629,41629,41629,1.1280043354559002,1.1280043354559002,1.1280043354559002,1,1,127.89126300811768
rat575,575,6773,7677,7677,7677,1.1334711353905211,1.1334711353905211,1.1334711353905211,1,1,127.203364610672
p654,654,34643,39317,39317,39317,1.1349190312617268,1.1349190312617268,1.1349190312617268,1,1,152.3788001537323
d657,657,48912,54891,54891,54891,1.1222399411187438,1.1222399411187438,1.1222399411187438,1,1,182.60227465629578
gr666,666,294358,324271,324271,324271,1.101621155191977,1.101621155191977,1.101621155191977,1,1,177.73316144943237
u724,724,41910,47888,47888,47888,1.1426389883082797,1.1426389883082797,1.1426389883082797,1,1,178.7373116016388
rat783,783,8806,10095,10095,10095,1.1463774699068816,1.1463774699068816,1.1463774699068816,1,1,202.36263966560364
dsj1000,1000,18660188,20762245,20762245,20520728,1.112649293779891,1.112649293779891,1.0997063909538318,1,1,412.34516525268555
pr1002,1002,259045,286885,286885,286885,1.1074716748055358,1.1074716748055358,1.1074716748055358,1,1,325.5888648033142
si1032,1032,92650,93621,93621,93621,1.010480302212628,1.010480302212628,1.010480302212628,1,1,367.56009125709534
u1060,1060,224094,249448,249448,249448,1.1131400215980793,1.1131400215980793,1.1131400215980793,1,1,357.76478576660156
vm1084,1084,239297,267239,267239,267239,1.116767030092312,1.116767030092312,1.116767030092312,1,1,345.0054636001587
pcb1173,1173,56892,63767,63767,63767,1.1208430007733952,1.1208430007733952,1.1208430007733952,1,1,394.30891966819763
d1291,1291,50801,57563,57563,57563,1.1331076159918112,1.1331076159918112,1.1331076159918112,1,1,574.3610506057739
rl1304,1304,252948,277868,277868,277868,1.0985182725303224,1.0985182725303224,1.0985182725303224,1,1,300.33054542541504
rl1323,1323,270199,299814,299814,299814,1.109604402680987,1.109604402680987,1.109604402680987,1,1,327.76083850860596
nrw1379,1379,56638,64414,64414,64414,1.1372929835093046,1.1372929835093046,1.1372929835093046,1,1,417.3521978855133
fl1400,1400,20127,22803,22803,22803,1.1329557311074676,1.1329557311074676,1.1329557311074676,1,1,578.3888955116272
u1432,1432,152970,171495,171495,171495,1.121102176897431,1.121102176897431,1.121102176897431,1,1,357.58605337142944
d1655,1655,62128,70939,70939,70939,1.1418201133144477,1.1418201133144477,1.1418201133144477,1,1,1212.3036799430847
vm1748,1748,336556,379373,379373,379373,1.1272210271099015,1.1272210271099015,1.1272210271099015,1,1,587.2697098255157
u1817,1817,57201,66055,66055,66055,1.15478750371497,1.15478750371497,1.15478750371497,1,1,623.9258320331573
rl1889,1889,316536,345743,345743,345743,1.0922707053858014,1.0922707053858014,1.0922707053858014,1,1,643.9268734455109
